,Delta_C1,Delta_C2,Delta_C3,Delta_C4
305,173006.7333574693,413279.49932938727,407987.7450134672,408229.6781381024
306,252650.45657534667,541789.4981098055,544221.1603629728,600139.0041068259
307,238136.7975401125,573965.6776567879,490748.8559428219,500090.6825132904
308,250943.5798207247,577783.7430899091,586339.0504230969,539581.9426860944
309,260164.40707584875,586705.9670244247,592635.6803408149,558429.0727446714
310,262074.17304823163,591927.5167732498,619491.0120818346,572505.5697361059
311,265422.40551825066,611473.8093667495,604928.611364471,584639.5803644842
312,216371.5799718718,457174.5901753932,582068.7682935084,490272.8973800408
314,18861.37139887781,21911.84026504488,12424.36660217004,12458.103391580644
315,14702.1916696192,21091.920056161805,22276.396832241797,23355.021748669675
316,11530.749637542693,20239.436350285883,32688.38102687351,27685.142478005582
317,8832.913456840302,18356.32673349551,25584.50985677978,24395.18090337566
318,9486.117231072914,25719.19291027428,29138.470692715164,28750.301663529463
319,6622.7993317373575,21375.09502485811,21865.54999451853,25507.54666172201
320,7733.38590360858,30775.67455323673,35434.041696502136,31139.384363701407
321,5441.971112563584,31422.68345218549,48652.15671172064,35942.65039759532
322,6057.883473429964,36470.04368457069,34345.76627868588,31185.36136006917
323,5157.649478902894,38543.8304730976,38077.16845551407,35161.00644992877
324,4267.915481901392,41210.40324831325,34226.56494727678,33597.59606622819
325,5487.389359812474,34147.30785432166,96093.55568873302,148310.6484985322
326,3994.16176201242,50464.17885123344,49850.912550573536,58716.179913976885
327,2109.355882651231,48582.956809838346,84268.34895491175,88254.97335108023
328,2180.1789372318194,54391.8351615883,52859.210694228,54818.052811352405
329,1216.729726165301,42940.28447969426,45058.73052796607,45552.10592374329
330,975.7810943939966,59594.70602641269,65197.82176488234,64700.41921763223
331,574.3996453673917,62374.63937041144,62178.275433324845,63439.80044795734
332,138.69082579126072,46703.82718442167,52431.32489873606,41527.6262383667
333,3182.692034370317,75754.0709097097,94660.857123465,63755.64649512908
