Datetime,valueACC
2024-10-09 13:06:58.441500,"[32, -3, 54]"
2024-10-09 13:06:58.472760,"[33, -3, 53]"
2024-10-09 13:06:58.504010,"[33, -3, 54]"
2024-10-09 13:06:58.535260,"[32, -3, 54]"
2024-10-09 13:06:58.566510,"[33, -3, 54]"
2024-10-09 13:06:58.597760,"[33, -3, 53]"
2024-10-09 13:06:58.629010,"[32, -3, 54]"
2024-10-09 13:06:58.660260,"[32, -3, 53]"
2024-10-09 13:06:58.691520,"[32, -3, 54]"
2024-10-09 13:06:58.722770,"[33, -3, 54]"
2024-10-09 13:06:58.754020,"[33, -3, 54]"
2024-10-09 13:06:58.785270,"[32, -3, 54]"
2024-10-09 13:06:58.816520,"[32, -3, 54]"
2024-10-09 13:06:58.847770,"[33, -3, 53]"
2024-10-09 13:06:58.879020,"[32, -3, 54]"
2024-10-09 13:06:58.910280,"[32, -3, 54]"
2024-10-09 13:06:58.941530,"[33, -3, 54]"
2024-10-09 13:06:58.972780,"[32, -3, 54]"
2024-10-09 13:06:59.004030,"[32, -3, 53]"
2024-10-09 13:06:59.035280,"[32, -3, 54]"
2024-10-09 13:06:59.066530,"[32, -3, 54]"
2024-10-09 13:06:59.097780,"[32, -3, 54]"
2024-10-09 13:06:59.129040,"[33, -4, 54]"
2024-10-09 13:06:59.160290,"[32, -3, 54]"
2024-10-09 13:06:59.191540,"[32, -3, 54]"
2024-10-09 13:06:59.222790,"[33, -3, 54]"
2024-10-09 13:06:59.254040,"[32, -3, 53]"
2024-10-09 13:06:59.285290,"[32, -3, 54]"
2024-10-09 13:06:59.316540,"[32, -3, 54]"
2024-10-09 13:06:59.347800,"[32, -3, 54]"
2024-10-09 13:06:59.379050,"[32, -3, 54]"
2024-10-09 13:06:59.410300,"[32, -3, 54]"
2024-10-09 13:06:59.441550,"[32, -3, 54]"
2024-10-09 13:06:59.472800,"[32, -3, 54]"
2024-10-09 13:06:59.504050,"[32, -3, 54]"
2024-10-09 13:06:59.535300,"[32, -3, 54]"
2024-10-09 13:06:59.566560,"[33, -3, 54]"
2024-10-09 13:06:59.597810,"[33, -3, 53]"
2024-10-09 13:06:59.629060,"[32, -3, 54]"
2024-10-09 13:06:59.660310,"[32, -3, 54]"
2024-10-09 13:06:59.691560,"[32, -3, 54]"
2024-10-09 13:06:59.722810,"[33, -3, 54]"
2024-10-09 13:06:59.754060,"[33, -3, 54]"
2024-10-09 13:06:59.785320,"[32, -3, 54]"
2024-10-09 13:06:59.816570,"[32, -3, 54]"
2024-10-09 13:06:59.847820,"[32, -3, 54]"
2024-10-09 13:06:59.879070,"[32, -3, 54]"
2024-10-09 13:06:59.910320,"[32, -3, 54]"
2024-10-09 13:06:59.941570,"[32, -3, 54]"
2024-10-09 13:06:59.972820,"[32, -3, 54]"
